Experience Name,Description,Intended Age Range (years old),Content Difficulty (1-3),Topics,GS Assistance,"GS Priority/
Popularity",Average Visitor Duration,Copy,More Copy
MKE Historical Sites,Various informational panels detailing important locations in Milwaukee's history.,12 - 18,1,"history, reading-heavy, Milwaukee",No,5,2 - 8 mins,"Prehistoric Burial Mound
The last of a group of Native American Mounds formerly located on a Stone Age village site near this spot and destroyed in recent years. Several were of larger size. Also the last of many fine groups of burial, linear, and animal shaped mounds formerly located within the present limits of the City of Milwaukee. Effigy mounds are burial sites made of earth and are common in Wisconsin's landscape. Many were constructed in the shapes of like animals and spirits. Other mounds are conical or linear shapes. Another variation in the style of mounds is the Panther Intaglio in Fort Atkinson, which is an indentation in the ground that fills up with water when it rains. Most mounds were built by Late Woodland Period people, between A.D. 750 and 1200. More often than not, effigy mounds occur in groups along with other kinds of mounds. During the 1800s, European-American archaeologists assumed indigenous people did not build the mounds and attributed them to a nebulous race of ""mound-builders."" Excavations of these mounds in the late 1800s revealed native artifacts and skeletal remains, settling the debate.
More than 3,000 effigy sites, that are known of, once existed in Wisconsin, but fewer than 10 percent of those remain.
First African American Church Built in Wisconsin
St. Mark African Methodist Episcopal Church, the first African American church built in Wisconsin, once stood on this site. The property was purchased in 1869, the year the congregation was organized. Construction on the St. Mark A.M.E. church began in November 1886, under the direction of Rev. William R. Alexander, pastor. Dedicatory services were held on April 3, 1887. The St. Mark congregation spent 43 years at this site, during which time the membership grew and the church, known as the Friendly Church, became the center of religious, civic, and cultural affairs for the African American community.
Bayview Rolling Mill
Near this site in Bay View stood the Milwaukee Iron Company rolling mill, the first major heavy industry in the region and an important producer of iron and steel for the Midwest. The mill, which opened in 1868, transformed ore from Dodge County and Lake Superior area mines into iron products, including thousands of tons of rail for the region's growing railroads. By 1885, more than 1,500 people were employed at the plant, some recruited from the iron-producing districts of the British Isles, and the village of Bay View grew from a rural crossroads into an industrial community surrounding the rolling mill. On May 5, 1886, the mill was the scene of a major labor disturbance. Nearly 1500 strikers from around Milwaukee marched on the Bay View mill to dramatize their demand for an eight-hour work day. The local militia, called to the scene by Governor Jeremiah Rusk, fired on the crowd, killing seven people. The mill closed in 1929, and the buildings were demolished a decade later. But the community of Bay View remains, a neighborhood of mill workers' houses, shops, and churches.
","Lueddemann's-On-The River
This park played a key role in Shorewood's development. In 1872, Frederick A. Lueddemann opened Lueddemann's-On-The-River on this site in the Town of Milwaukee. Otto Zwietusch bought the resort in 1876 and renamed it Mineral Springs Park. Envisioning a landscaped urban retreat, he replaced the original building with a large building featuring apartments, a restaurant, and billiard rooms. The park was purchased in 1900 and renamed Coney Island. Its owners added a roller coaster, loud music and garish lights. These changes prompted growing dissatisfaction with the Town of Milwaukee which was collecting license fees. In 1900, the community incorporated as the Village of East Milwaukee, renamed Shorewood in 1917. Ravenna Park, the last in a succession of parks, closed in 1916. The grounds were subdivided and the structures removed. Only Hubbard Park remains from the original Lueddemann's-On-The-River.
National Soldiers' Home
The Wisconsin Soldiers' Home Association was formed in 1864 by a coalition of women's charitable organizations led by Lydia Hewitt, Hannah Vedder, and Mrs. E. L. Buttrick of Milwaukee. The Association raised funds to endow a hospital where sick and wounded Civil War soldiers could receive medical treatment and long-term domiciliary care. After securing a state appropriation of $5000, the Association staged a spectacular public event known as the Soldiers' Home Fair, which opened in Milwaukee on June 29, 1865, and raised more than $110,000. The proceeds from the Soldiers' Home Fair enabled the Association to purchase land and establish a hospital. In 1867, the Association transferred its property and remaining funds to the federal government for the establishment of the National Asylum for Disabled Volunteer Soldiers, Northwestern Branch. Dr. Erastus B. Wolcott of Milwaukee, the state's surgeon general during the Civil War, was appointed by Congress to head the governing board of the Home. In 1869, the noted architect Edward Townsend Mix designed the High Victorian Gothic structure ""Old Main,"" now known as Building No. 2. The hospital was renamed the Clement J. Zablocki Veterans Administration Medical Center in 1985.
Rescue of Joshua Glover
Joshua Glover was a runaway slave who sought freedom in Racine in 1852. In 1854, his Missouri owner used the Fugitive Slave Act to apprehend him. This 1850 law permitted slave catchers to cross state lines to capture escaped slaves. Glover was taken to Milwaukee and imprisoned. Word spread about Glover's incarceration and a great crowd gathered around the jail demanding his release. They beat down the jail door and released Joshua Glover. He was eventually escorted to Canada and safety. The Glover incident helped galvanize abolitionist sentiment in Wisconsin. This case eventually led the state supreme court to defy the federal government by declaring the Fugitive Slave Act unconstitutional."
Mummy,Informational exhibit that highlights historical examples of real mummies and fake ones found throughout history.,,2,"mummy, history, archaeology, artifacts, reading-heavy",No,5,2 - 3 mins,"How do I tell what it is?
Objects may not always be what they seem. Knowing where you are in its timeline is as important as when and where the object comes from.
Sherit, the mummy, was actually a child.
Advanced technology has allowed reserchers to look inside the sarcophogus of this 2000-year-old mummy from Eygpt. So much information was gathered that scientists were able to reconstruct her face without ever opening her casket.
Petrified Man? The Cardiff Giant.
This 10 foot-tall ""petrified man"" was found in 1869. George Hull had a carver work a piece of gypsum into the figure of a man, stain it with acids, and beat the figure with a board full of needles to ""age"" the stone. Although declared a fake by archaeologists and geologists, it didn't stop PT Barnum from forming a plaster replica of the Giant, then calling the original a fake.
",
The Distant Mirror,"Experience that allows guests observe artifacts from 100 years ago and 1,000 years ago through an interactive mirror display.",All Ages,1,"archeology, history, artifacts, technology",No,4,1 - 3 mins,"What Is The Distant Mirror
The Distant Mirror exhibit allows you to explore the Technologies that Archaeologists use to discover the people and cultures of the past. Through the Distant Mirror of New Technologies and Methods, We can take inspiration from the past in order to build a better future. Where will I find objects from the past? How do I determine what it is? How do I tell how old it is?",
Virtual Explorer,Five virtual reality spaces where guests can choose from a small selection of games and play for up to five minutes. ,7 +,1,"video games, virtual reality, technology",Yes,1,5 - 10 mins,"How Does the VR System Know Where I Am?
Lighthouse Sensors are active, infrared sensors that emit a burst of invisible light 60 times per second. They also send a beam of invisible laser light sweeping across the room. The Vive headset is covered in photosensors that start counting the millisecond they detect these bursts of infrared light. They stop counting when they're hit by the laser. The Lighthouses use this information to determine the position of the headset. Since you are wearing the headset, the Lighthouse Sensors know exactly where you are. The Vive controllers also 'talk' to the Lighthouse Sensors, helping track your actions.",
Aquarium Screens - Lake Michigan Tank,Touch screens mounted in front of various tanks containing information on the species found within.,5 +,1,"Great Lakes, live animals, sturgeon, aquarium, invasive species, reading-heavy, fish",No,3, 1 - 4 mins,,
Aquarium Screens - Caribbean Tank,Touch screens mounted in front of the Caribbean Tank containing information on the species found within.,5 +,1,"live animals, ocean, aquarium, invasive species, reading-heavy, fish",No,3, 1 - 4 mins,,
Aquarium Screens,Touch screens mounted in front of various tanks containing information on the species found within.,,,,No,,,,
Touch Tank,"Three tanks where guests are able to touch sturgeon, sting rays, and slipper lobsters with two fingers.",6 +,1,"live animals, tactile experience, sturgeon, aquarium",Yes,1,2 - 6 mins,,
Weird & Wild,Row of aquatic tanks containing species not commonly found in aquariums. ,All Ages,1,"live animals, aquarium, axolotl, piranha",No,3,3 - 8 mins,,
Combined Sewers,Various pipes labeled for popular neighborhoods in Milwaukee that all combine into one another. Demonstrates how MMSD combines multiple different sewer systems. ,8 - 14,2,"MMSD, water, watershed",No,5,1 - 2 mins,,
Deep Tunnel,To scale cross-cut of Milwaukee's Deep Tunnel system that allows guests to visualize the size while explaining the benefits. ,9 - 16,1,"MMSD, watershed",No,4,1 min,,
Greenseams,"Experience that highlights MMSD's Greenseams initiative. Users can push a button to simulate a flooding event, then watch as the Greenseams naturally absorbs the excess water. ",8 - 15,2,"MMSD, water, flooding, watershed",No,5,1 - 2 mins,,
Rain Barrels,Real rain barrel that shows how they capture water and highlights the ways the reclaimed water can be used.,6 - 13,1,"flooding, water, gardening, sustainability",No,5,1 min,,
Runoff,"An interactive highlight on three different types of runoff (atmospheric, urban, and farm) and the effect they have on the environment. ",8 - 16,2,"water, watershed, pollution",No,4,1 - 4 mins,,
Water Body Calculator,Guests are able to stand on a scale and see how much they weigh in gallons. They can then watch that amount fill up the walls of the space they are in.,All Ages,,"water, Milwaukee Water Works, infrastructure",No,3,1 - 3 mins,,
Water's Downhill Story,A step-by-step experience that shows mini models of the technology used to treat waste water before it reenters Lake Michigan.,9 - 16,2,"MMSD, watershed, sustainability, water, Great Lakes",No,5,1 - 4 mins,,
Water's Uphill Story,A step-by-step experience that shows mini models of the technology used to treat Lake Michigan's water before it is safe to drink.,9 - 16,2,"Milwaukee Water Works, Great Lakes ",No,4,1 - 4 mins,,
Water Vortex,Tube that contains a continuous water vortex. Users can adjust a small wheel to view the vortex at different sizes.,All Ages,1,"water, physics",No,3,1 - 5 mins,,
Doodle Studio,"Users can customize a selected template, scan it into a computer, and watch it come to life as its animated on screen.",2 - 8,1,"drawing, 3D modelling, early learner",Float,1,-,*Exhibit yet to be installed,
Aphotic Zone,"At the most westerly section of the experience, the Aphotic Zone pod contains illustrations of sea creatures that are found at the deepest depths of the ocean. ",5 - 10,2,"water, diving, ocean, fish, Great Lakes",No,4,2 - 3 mins,"Welcome to the Aphotic Zone 
Our final stop is the aphotic zone! The only light you’ll find here comes from the animals themselves. Many deep sea creatures have a special ability called bioluminescence, or “living light”. Chemicals in the animal mix to give o light that can be blue, violet, green-yellow, and sometimes red. Bioluminescence is useful for lots of reasons, like communication, camouflage, and luring prey! ",
Camouflage Wall,Illustrated wall that demonstrates how various sea creatures blend in to their surroundings using camouflage. ,2 - 12,1,"fish, invasive species, plants, water, ocean",No,4,2 - 3 mins,"Can you sea me? 
These organisms use camouflage to hide from predators. How many can you find? Hover your hand over each creature.",
Disphotic Zone,"Located in the middle of the experience, the Disphotic Zone highlights the second-deepest zone of our oceans.",5 - 10,2,"water, diving, ocean, fish, Great Lakes",No,4,2 - 4 mins,"Welcome to the Disphotic Zone 
Dive deeper into the disphotic zone! It’s pretty dark here, since almost all light has been absorbed. A small amount of blue light still made it because of its higher energy. That means that down here a red fish will appear gray or black. Does anyone have a flashlight?",
Euphotic Zone,"At the most easternly section of the experience, the Euphotic Zone highlights plant and animal life that is able to live here due to the high amount of light that gets through.",5 - 10,2,"water, diving, ocean, fish, Great Lakes",No,4,2 - 4 mins,"Welcome to the Euphotic Zone 
Let’s go for a swim through the euphotic zone! This zone is the only place where there’s enough sunlight for photosynthesis to occur – meaning you’ll find lots of plants here! Since sunlight can travel through the water up to a point, divers can enjoy seeing red, yellow, green, and purple organisms, whose colors are not visible at deeper levels. ",
Mechanical Lungs,Mechanical lungs that demonstrate how breathing works at different elevations.,5 - 10,2,"health, engineering, diving",No,4,1 min,"Could I Breathe Underwater? 
Our chests need the pressure on the outside to equal what it is inside our lungs in order to work. Scuba tanks and regulators keep the pressure where it should be to make sure our lungs don’t SQUISH or POP! Fun Fact: Dolphins have collapsible lungs and really strong muscles that let them dive deep underwater.",
Microscope,Microscope that lets guests observe microscopic organisms.,8 - 15,1,"science, microorganisms, fish",No,4,1 min,"Microscope 
Plankton are teeny (some are smaller than a red blood cell) and go wherever the water pushes them. As the base of the food chain, which plankton are here and which are missing is important – every water animal depends on these tiny plankton somehow. Use the microscope to see them up close! Fun Fact: A baleen whale eats thousands of pounds of plankton every day!",
Periscope,Real periscope that guests can look through and observe the area surrounding Discovery World in real-time. ,5 - 10,1,"diving, submarine, water, ocean, engineering, scenic-view",No,3,1 - 3 mins,-,
Scuba Tank Dissection,Scuba diving tank that is cross-cut so guests can see the interior of the tank and any components that make it up.,10 - 16,2,"diving, water, ocean, engineering",No,5,1 min,-,
Great Lakes Future Screens - Lake Superior,"Two touch screen that contain information on Lake Superior including facts, invasive species, and personal stories.",8 +,2,"Great Lakes, invasive species, history, reading-heavy",Float,5,1 - 2 mins,,
Great Lakes Future Screens - Lake Michigan,"Two touch screen that contain information on Lake Michigan including facts, invasive species, and personal stories.",8 +,2,"Great Lakes, invasive species, history, reading-heavy",Float,5,1 - 2 mins,,
Great Lakes Future Screens - Lake Huron,"Two touch screen that contain information on Lake Huron including facts, invasive species, and personal stories.",8 +,2,"Great Lakes, invasive species, history, reading-heavy",Float,5,1 - 2 mins,,
Great Lakes Future Screens - Lake Erie,"Two touch screen that contain information on all the Lake Erie including facts, invasive species, and personal stories.",8 +,2,"Great Lakes, invasive species, history, reading-heavy",Float,5,1 - 2 mins,,
Great Lakes Future Screens - Lake Ontario,"Two touch screen that contain information on Lake Ontario including facts, invasive species, and personal stories.",8 +,2,"Great Lakes, invasive species, history, reading-heavy",Float,5,1 - 2 mins,,
Water Locks,Model representation of the locks found throughout the Great Lakes. Guests can adjust the water level to see a model boat rise and lower.,8 - 14,2,"shipping, Great Lakes, boats, transportation, engineering",Float,4,2 - 5 mins,"Water Locks
Water Locks... invented by the Chinese a thousand years ago... allow ships to pass back and forth from lakes of different heights, by a simple set of valves. Water will always seek its own level, so gravity does all the work... no pumps... no power required! Gates (yellow) - only open when water level is equal on one side or the other - allowing a ship to go into the lock. Then the gate is closed and a valve is opened to raise or lower the water - taking the ship with it. Then the opposite gate is opened to let the ship pass through. Try operating the locks below!
Lake Huron 557 ft.
Open this valve and the water in the lock will seek Lake Huron level and a ship in the lock will be lowered to Huron.
Lake Superior 601 ft.
Open this valve and the water in the lock will seek Lake Superior level.",
Weather Cave,Overlook of Great Lakes Future that contains weather controls for GLF and information on Great Lakes weather phenomenon.,6 - 12,1,"weather, national parks, Great Lakes, scenic view, reading-heavy",No,3,3 - 10 mins,"Apostle Islands
Look below at Great Lakes Future… we are roughly located just over one of Wisconsin’s most unique geographical regions - the Apostle Islands! These 22 islands and their natural marvels have been closely studied by scientists for decades to learn more about how weather continuously shapes the land.
Weathered Wonderland (Sea Caves)
The Apostle Islands’ sea caves have formed over centuries through wave erosion, water freezing and thawing, and the slow crumble of the sandstone rock along the shoreline. In the winter, the caves transform into a sparkling, icy wonderland, filled with hanging icicles and beautiful frost patterns.
Water, Wind, & Weather (Lake Effect Snow)
One of the most unique weather patterns in the Great Lakes region is lake effect snow. Lake effect snow occurs when cold air from the north blows over the warmer lake water, cooling down quickly and picking up extra moisture. That moisture turns into snow and can bring massive amounts of snowfall to nearby land. 
It’s Cooler By The Lake (Microclimates)
Have you noticed that Milwaukee seems like it is “shielded” from certain weather? Water changes temperature more slowly than air. Due to the size of Lake Michigan, the lakefront of Milwaukee can be warmer in the winter, cooler in the summer, or even have entirely different weather, altogether.
Bats of the Apostles
The Apostle Islands host up to seven bat species. The only true-flying mammals, bats accomplish flight through elongated hands and patagia (bat wings). Bats benefit their ecosystems as well as the agricultural industry via pest management. All bats found in the islands are insect-eaters. Little brown bats eat up to 1,000 mosquitoes per night!
Great Lakes Facts
Tornadoes can form over the waters of the Great Lakes. These “waterspouts” are most common in the autumn months.
During winter, “ice volcanoes” can occur in the Great Lakes when water is forced up through openings in the ice, resembling volcanic eruptions.
The Great Lakes region experiences a unique weather phenomenon called ""seiche"" - a sudden change in water level caused by atmospheric pressure changes or wind.
Lake Superior's ""Three Sisters"" phenomenon, three large and closely spaced unpredictable waves, is thought to have contributed to the sinking of the Edmund Fitzgerald in 1975.",
Archimedes Screw,Archimedes screw that users can twist and observe a series of plastic balls move upward. Plastic balls are meant to represent water.,All Ages,1,"simple machines, water, history, engineering",No,4,1 min,"There’s Something Screwy About this Wedge
This simple machine has been around for over 2000 years. It's called the Archimedes Screw, though Archimedes did not invent it. The Ancient Egyptians may have invented it, though it's possible that this simple machine is even older. There's still some debate among people who debate these sorts of things. The Archimedes Screw is a long wedge spiraled around a core inside a tube. As you turn the machine, the screw draws whatever it is you're lifting upward. Versions of the Archimedes Screw-the screw conveyor and the screw pump-are used to harvest grain, move rock, propel boats, and pump water.",
Lift a Rock,Activity that shows the power of levers by allowing users to lift a large rock using one. Users can adjust the length of the lever to have a better understanding of fulcrums. ,All Ages,1,"simple machines, lever, lifting",No,3,1 - 2 mins,"Being Stronger Can Make You Stronger
You have a rock to lift. It weighs 100 pounds. You could try to pick it up, but you're smarter than that. You're so smart that you've brought a lever. There are two parts to a lever: the beam and the fulcrum. The fulcrum is the pivot point, the part that the beam rotates on.
Use the lever to multiply force and lift that rock!",
Lift a House,Guests can spin a large horizontal screw that lifts a large and heavy section of a wooden beam found in a house. ,All Ages,1,"simple machines, lifting",No,5,1 min,"Lift a House with One Hand
This amazing screw gives you an incredible mechanical advantage. Turn the wheel and you can lift a car, a house, even a tall building. Of course, you're trading that mechanical advantage for distance. You have to turn the wheel a lot to lift the load a little.",
Pulley Chair,A chair connected to pulleys that allows users to sit in it and lift themselves up. ,All Ages,1,"simple machines, pulley, lifting",No,3,2 - 6 mins,"Give Yourself a Lift
With the help of a chair, a few feet of rope, and two pulleys, you can lift yourself into the air. A pulley with one wheel changes the direction of a force. You pull down, but you go up. Pulleys with more than one wheel also change the magnitude of the force. There are two pulleys here, each with more than one wheel. They provide the mechanical advantage you need to give yourself a lift.",
Pump Engine,A visual functioning display of how pistons in an engine work. Alternating pressure on three pistons kinetically powers and rotates the fan.,All Ages,1,"simple machines, engines, physical activity",No,3,2 - 5 mins,"This is a Pump Car. You are the Engine.
Push on a yellow piston with your feet. Turn the fan. Work together to generate a refreshing breeze.
The Crankshaft
Like a lever, a crankshaft changes the direction of a force. When you push on a piston, the crankshaft changes the downward direction of that push into spinning. Or, to make it more science-y, the crankshaft transforms reciprocating motion (up and down or back and forth) into rotational motion (spinning). The crankshaft is located underneath the front of the Pump Car. Take a look!",
Split the Difference,A pre-cut log that is spring loaded back as one piece. Users can insert a wedge to observe it split back open.,All Ages,1,"simple machines, wedge",No,4,1 - 2 mins,"Split the Difference with a Wedge
The wedge is an incredibly versatile and useful simple machine. Use them to split, chop, saw, carve, and cut. A wedge can even hold open a door! Wedges translate force to right angles. When you push down on a wedge, it pushes outward. A skinnier or sharper wedge has a greater splitting force.",
The Windlass,Windlass structure that uses a set of pulleys and a wheel to allow users to lift a large ice block. ,All Ages,1,"simple machines, lifting, pulley, history, engineering",No,4,1 - 3 mins,"The Windlass
A windlass is a machine that combines a wheel and axle, a rope, and a pulley. The wheel and axle multiply force like a lever. The pulley changes the direction of the force.
Windlasses have been around since at least the Ancient Greeks.
Lift 300 Pounds All by Yourself
This block of pretend ice weighs 300 lbs. The smaller wheel has a diameter of 30 inches. The large wheel has a diameter of 60 inches. Which wheel is easier to turn? Why do you think that is?",
Below Deck,Guests can climb below deck on The Challenge and view a representation of what would have been found on a Great Lakes schooner.,8 - 18,1,"invasive species, shipping, transportation, history, scavenger hunt",Yes,3,2 - 5 mins,"Bulkhead
A substantial upright partition usually built athwart ship (across the ship's width) to add strength and separate the ship into compartments that prevent the spread of fire or water.
Forecastle
In sailing ships, the area for crew accomodations located ahead of the front mast. Pronunciation varies, ""fo'c'sl"" is the usual.",
Introduction,"Introductory panel that features Captain Knowbot. Guests learn about the various Challenges on-board including a scavenger hunt, a cooking challenge, and an iSpy experience in the Pilot House.",2-12,1,"history, imaginative play, cartography, cooking, scavenger hunt, water, Great Lakes, fish, invasive species",No,3,2 - 10 mins,"Ahoy!
Welcome aboard our fine replica schooner, The Challenge. Located around the ship are several activities that we need you complete in order to set sail. Do you have what it takes?",
Pilot House,"Playhouse themed Pilot House where guests can prepare play food, search the cabinets for various items of superstition, and learn about common sailing concepts.",4 - 12,1,"history, imaginative play, cartography, cooking, scavenger hunt",No,3,2 - 10 mins,"What are ""sea legs""?
Fluids in the inner ear detect the bobbing and rolling motions of the waves, but your eyes think the surroundings are stable because your body is moving with the ship. This conflict creates motion sickness. A sailor who can overcome it has ""earned their sea legs!""",
